date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:09	216970/216970	---MCZ	200	added ('OK')	text/html	etag:%221707707fjq8427o%22	https://www.albayan.ae/news/uae/education/40143	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/news/uae/education/40143.html	(from )
09:46:11	150/150	---M-Z	200	added ('OK')	text/plain	etag:%22e4-628e304629c8c-gzip%22	https://www.albayan.ae/robots.txt		(from )
09:46:11	3286/3286	---M--	200	added ('OK')	image/png	etag:%22cd6-623614c54594b%22	https://www.albayan.ae/apple-touch-icon.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/apple-touch-icon.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:12	100820/100820	---M--	200	added ('OK')	image/jpeg	etag:%2264839f42c8c9d8d8b177df15e5b75292%22	https://www.albayan.ae/assets/images/2025/04/18/4752616.jpg	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/assets/images/2025/04/18/4752616.jpg	(from https://www.albayan.ae/news/uae/education/40143)
09:46:12	259005/259005	---MCZ	200	added ('OK')	text/css	etag:W/%223f3bd-19638339d77%22	https://www.albayan.ae/_next/static/css/48858fcb97d7ac55.css	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/css/48858fcb97d7ac55.css	(from https://www.albayan.ae/news/uae/education/40143)
09:46:12	5467/5467	---MCZ	200	added ('OK')	text/css	etag:W/%22155b-19638339d7b%22	https://www.albayan.ae/_next/static/css/1a959bb3eb592212.css	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/css/1a959bb3eb592212.css	(from https://www.albayan.ae/news/uae/education/40143)
09:46:12	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22164f5-1963839bbbe%22	https://www.albayan.ae/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:13	3632/3632	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e30-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/webpack-15e4d686a2f0d2c7.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/webpack-15e4d686a2f0d2c7.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:13	140943/140943	---MCZ	200	added ('OK')	application/javascript	etag:W/%222268f-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/framework-0995a3e8436ddc4f.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/framework-0995a3e8436ddc4f.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:14	124631/124631	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e6d7-19638339d77%22	https://www.albayan.ae/_next/static/chunks/main-2e36dc615c290c0b.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/main-2e36dc615c290c0b.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:14	291276/291276	---MCZ	200	added ('OK')	application/javascript	etag:W/%22471cc-1963839bbbe%22	https://www.albayan.ae/_next/static/chunks/pages/_app-97dd25ba7e2af4a0.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/pages/_app-97dd25ba7e2af4a0.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:15	1078/1078	---MCZ	200	added ('OK')	application/javascript	etag:W/%22436-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/36d2f571-b6c4a1b8fb3f7f35.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/36d2f571-b6c4a1b8fb3f7f35.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:15	277838/277838	---MCZ	200	added ('OK')	application/javascript	etag:W/%2243d4e-19638339d7b%22	https://www.albayan.ae/_next/static/chunks/590-1e9cef6c9d774fac.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/590-1e9cef6c9d774fac.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:16	29606/29606	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273a6-19638339d7b%22	https://www.albayan.ae/_next/static/chunks/8239-3089d2302c38684a.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/8239-3089d2302c38684a.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:16	24493/24493	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fad-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/3294-a7bb5afc4eb4bb93.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/3294-a7bb5afc4eb4bb93.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:16	127901/127901	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f39d-19638339d7f%22	https://www.albayan.ae/_next/static/chunks/6161-6762a5f6571a7777.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/6161-6762a5f6571a7777.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:16	9970/9970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226f2-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/21-8d7e22ba8556e7fb.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/21-8d7e22ba8556e7fb.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:17	11887/11887	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e6f-1963839bbc6%22	https://www.albayan.ae/_next/static/chunks/2275-4475953898f526a7.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/2275-4475953898f526a7.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:17	7060/7060	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b94-1963839bbc6%22	https://www.albayan.ae/_next/static/chunks/1007-0bbaab323f1095a8.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/1007-0bbaab323f1095a8.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:17	37852/37852	---MCZ	200	added ('OK')	application/javascript	etag:W/%2293dc-19638339d7f%22	https://www.albayan.ae/_next/static/chunks/9191-f375141958ab32d3.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/9191-f375141958ab32d3.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:18	4624/4624	---MCZ	200	added ('OK')	application/javascript	etag:W/%221210-1963839bbc2%22	https://www.albayan.ae/_next/static/chunks/pages/%5Bsection_name%5D/%5Bsub_section_name%5D/%5Bsub_sub_section_name%5D/%5Barticle_slug%5D-5af1e79565ae17b2.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/chunks/pages/[section_name]/[sub_section_name]/[sub_sub_section_name]/[article_slug]-5af1e79565ae17b2.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:18	5315/5315	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214c3-1963839bbbe%22	https://www.albayan.ae/_next/static/866df20/_buildManifest.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/866df20/_buildManifest.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:19	77/77	---M-Z	200	added ('OK')	application/javascript	etag:W/%224d-1963839bbbe-gzip%22	https://www.albayan.ae/_next/static/866df20/_ssgManifest.js	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/866df20/_ssgManifest.js	(from https://www.albayan.ae/news/uae/education/40143)
09:46:21	14703/14703	---M--	200	added ('OK')	image/jpeg	etag:%2208f217de55f33813e28493ea2ddb9ca2%22	https://www.albayan.ae/assets/authors/64_1727667066.jpg	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/assets/authors/64_1727667066.jpg	(from https://www.albayan.ae/news/uae/education/40143)
09:46:23	6178/6178	---M--	200	added ('OK')	image/png	etag:W/%221822-19638398414%22	https://www.albayan.ae/_next/static/media/get-app-huawei.6c00e344.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/get-app-huawei.6c00e344.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:23	3730/3730	---M-Z	200	added ('OK')	image/png	etag:W/%22e92-1963833640e-gzip%22	https://www.albayan.ae/_next/static/media/get-app-ios.380bc858.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/get-app-ios.380bc858.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:24	4388/4388	---M-Z	200	added ('OK')	image/png	etag:W/%221124-1963833640e-gzip%22	https://www.albayan.ae/_next/static/media/get-app-android.00e8ac2a.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/get-app-android.00e8ac2a.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:24	28194/28194	---M-Z	200	added ('OK')	image/png	etag:W/%226e22-1963833640e-gzip%22	https://www.albayan.ae/_next/static/media/dubai-media-logo.1215a104.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/dubai-media-logo.1215a104.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:25	385/385	---M-Z	200	added ('OK')	image/png	etag:W/%22181-1963833640e-gzip%22	https://www.albayan.ae/_next/static/media/happiness-icon.8ec72523.png	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/happiness-icon.8ec72523.png	(from https://www.albayan.ae/news/uae/education/40143)
09:46:30	91030/91030	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2216396-19638339d6f-gzip%22	https://www.albayan.ae/_next/static/media/event_banner.01bcdd6b.jpg	C:/Users/rasha/OneDrive/Desktop/albayan/www.albayan.ae/_next/static/media/event_banner.01bcdd6b.jpg	(from https://www.albayan.ae/_next/static/css/48858fcb97d7ac55.css)
09:46:31	1372/1372	---M-Z	200	added ('OK')	image/jpeg	etag:%2255c-556266c766e00%22	https://media.albayan.ae/res/img/contactdivderbg.jpg	C:/Users/rasha/OneDrive/Desktop/albayan/media.albayan.ae/res/img/contactdivderbg.jpg	(from https://www.albayan.ae/_next/static/css/48858fcb97d7ac55.css)
